Date,UPC,Brand,Description,Unit Price,Unit Cost,Regular Margin%,Units Sold,Distinct Trans. Count,Trans by Customers,Department,SubDpto,Category
9/30/2024,4400002829,BELVITA,BELVITA BREAKFAST BLUEBERRY 5-1.76 oz,$4.79,$3.00,37.41%,5,5,2,GROCERY FOOD,GALLETAS,GALLETAS AVENA
10/1/2024,4400002829,BELVITA,BELVITA BREAKFAST BLUEBERRY 5-1.76 oz,$4.79,$3.00,37.41%,8,8,6,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/26/2024,4400003194,BELVITA,BELVITA BREAKFAST CHOCOLATE 5-1.76 oz,$4.79,$3.00,37.41%,2,2,1,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/27/2024,4400003194,BELVITA,BELVITA BREAKFAST CHOCOLATE 5-1.76 oz,$4.79,$3.00,37.41%,2,2,2,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/28/2024,4400003194,BELVITA,BELVITA BREAKFAST CHOCOLATE 5-1.76 oz,$4.79,$3.00,37.41%,3,3,2,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/29/2024,4400003194,BELVITA,BELVITA BREAKFAST CHOCOLATE 5-1.76 oz,$4.79,$3.00,37.41%,4,3,2,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/30/2024,4400003194,BELVITA,BELVITA BREAKFAST CHOCOLATE 5-1.76 oz,$4.79,$3.00,37.41%,2,2,2,GROCERY FOOD,GALLETAS,GALLETAS AVENA
10/1/2024,4400003194,BELVITA,BELVITA BREAKFAST CHOCOLATE 5-1.76 oz,$4.79,$3.00,37.41%,5,4,2,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/25/2024,4400003195,BELVITA,BELVITA BREAKFAST CINNAMON BROWN SUGAR 5-1.76 oz,$4.79,$3.00,37.41%,3,3,3,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/26/2024,4400003195,BELVITA,BELVITA BREAKFAST CINNAMON BROWN SUGAR 5-1.76 oz,$4.79,$3.00,37.41%,2,2,2,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/27/2024,4400003195,BELVITA,BELVITA BREAKFAST CINNAMON BROWN SUGAR 5-1.76 oz,$4.79,$3.00,37.41%,3,3,3,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/28/2024,4400003195,BELVITA,BELVITA BREAKFAST CINNAMON BROWN SUGAR 5-1.76 oz,$4.79,$3.00,37.41%,2,2,2,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/29/2024,4400003195,BELVITA,BELVITA BREAKFAST CINNAMON BROWN SUGAR 5-1.76 oz,$4.79,$3.00,37.41%,1,1,1,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/30/2024,4400003195,BELVITA,BELVITA BREAKFAST CINNAMON BROWN SUGAR 5-1.76 oz,$4.79,$3.00,37.41%,2,2,,GROCERY FOOD,GALLETAS,GALLETAS AVENA
10/1/2024,4400003195,BELVITA,BELVITA BREAKFAST CINNAMON BROWN SUGAR 5-1.76 oz,$4.79,$3.00,37.41%,4,4,,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/25/2024,4400004059,BELVITA,BELVITA BREAKFAST CRANBERRY ORANGE 5-1.76 oz,$4.79,$3.00,37.41%,1,1,,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/26/2024,4400004059,BELVITA,BELVITA BREAKFAST CRANBERRY ORANGE 5-1.76 oz,$4.79,$3.00,37.41%,1,1,1,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/27/2024,4400004059,BELVITA,BELVITA BREAKFAST CRANBERRY ORANGE 5-1.76 oz,$4.79,$3.00,37.41%,3,3,3,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/28/2024,4400004059,BELVITA,BELVITA BREAKFAST CRANBERRY ORANGE 5-1.76 oz,$4.79,$3.00,37.41%,4,4,3,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/29/2024,4400004059,BELVITA,BELVITA BREAKFAST CRANBERRY ORANGE 5-1.76 oz,$4.79,$3.00,37.41%,2,2,1,GROCERY FOOD,GALLETAS,GALLETAS AVENA
9/30/2024,4400004059,BELVITA,BELVITA BREAKFAST CRANBERRY ORANGE 5-1.76 oz,$4.79,$3.00,37.41%,4,4,2,GROCERY FOOD,GALLETAS,GALLETAS AVENA
